clip,MOTA,MOTP,IDF1,IDP,IDR,Frames,MT,PT,ML,FP,FN,IDs,Frag,GT
v_00HRwkvvjtQ_c001,0.46771904930826536,0.1763013717286885,0.16369123740344774,0.19340021757524478,0.1418942887548776,1162,1,9,0,1369,4372,261,273,10
v_00HRwkvvjtQ_c003,0.4928015738174014,0.1785302185206237,0.1431517529299331,0.16360082777650034,0.12724671376196012,1161,1,9,0,1466,3951,255,270,10
v_00HRwkvvjtQ_c005,0.5084527747151782,0.182084417730076,0.2541855322733495,0.2976572133168927,0.22179345828739433,594,0,10,0,594,1981,100,100,10
v_00HRwkvvjtQ_c007,0.37999380613192935,0.20019592017754176,0.1593688362919132,0.21944595328625746,0.12511613502632393,707,0,10,0,524,3300,180,194,10
v_00HRwkvvjtQ_c008,0.4467393583560495,0.17098769638519667,0.13556877591490896,0.15880613825144305,0.11826378695743342,972,0,10,0,1303,3738,236,250,10
v_00HRwkvvjtQ_c011,0.4122618536026357,0.18875794875662116,0.19112020642405908,0.2522310944105214,0.15384615384615385,734,1,9,0,603,3326,174,183,10
OVERALL,0.4549117496756948,0.18048219259119755,0.1665382359368351,0.20072638553882835,0.14230119108455522,5330.0,3.0,57.0,0.0,5859.0,20668.0,1206.0,1270.0,60.0
