clip,MOTA,MOTP,IDF1,IDP,IDR,Frames,MT,PT,ML,FP,FN,IDs,Frag,GT
v_00HRwkvvjtQ_c001,0.28032990422135506,0.20431830431083564,0.23875815248483923,0.2094626246402998,0.2775807023767293,1162,7,3,0,5826,2159,130,191,10
v_00HRwkvvjtQ_c003,0.30948761513010825,0.20225240025370864,0.2708989022798802,0.23730751126353306,0.3155682732719306,1161,8,2,0,5639,1951,132,184,10
v_00HRwkvvjtQ_c005,0.21131936787945604,0.206773876684618,0.2290776284093558,0.1984650599165208,0.27085630282984197,594,5,5,0,3103,1118,71,89,10
v_00HRwkvvjtQ_c007,0.04629916382781052,0.23269698274724962,0.20578095995757092,0.17992116856016693,0.2403220811396717,707,1,9,0,4104,1936,119,172,10
v_00HRwkvvjtQ_c008,0.3336129167540365,0.19912982735511403,0.19679612979781844,0.17425038390042835,0.22604319563849865,972,6,4,0,4534,1699,123,177,10
v_00HRwkvvjtQ_c011,0.23377739578856893,0.21828329926883566,0.2653821451509313,0.24054022587029922,0.2959461395215585,734,4,6,0,3434,1826,89,138,10
OVERALL,0.25325287943708474,0.20808030213936812,0.23629860586031418,0.2080982806865283,0.2733401470183576,5330.0,31.0,29.0,0.0,26640.0,10689.0,664.0,951.0,60.0
