clip,MOTA,MOTP,IDF1,IDP,IDR,Frames,MT,PT,ML,FP,FN,IDs,Frag,GT
v_00HRwkvvjtQ_c001,0.4920184462575381,0.1993422833221791,0.27667187421256867,0.3204155480331505,0.24343738914508692,1162,1,9,0,1447,4156,125,617,10
v_00HRwkvvjtQ_c003,0.5096128051506752,0.20161510181551623,0.2799520766773163,0.3168719629336648,0.25073772690691226,1161,1,9,0,1511,3845,128,591,10
v_00HRwkvvjtQ_c005,0.5134141859610437,0.20108479692581385,0.3043930876535499,0.35110470701248797,0.2686512311650129,594,0,10,0,654,1932,62,260,10
v_00HRwkvvjtQ_c007,0.39609786311551565,0.21869831136002954,0.2342255290366219,0.31148804934464147,0.1876742025394859,707,0,10,0,619,3186,95,412,10
v_00HRwkvvjtQ_c008,0.465716083036276,0.19411181489083212,0.263435444688037,0.3029023027660444,0.23306772908366533,972,0,10,0,1391,3590,115,509,10
v_00HRwkvvjtQ_c011,0.43575418994413406,0.21647704961731312,0.2584915519944261,0.3297045101088647,0.21257699469989974,734,1,9,0,684,3164,91,389,10
OVERALL,0.4733480089626164,0.20322616222273024,0.27055528467269163,0.3197448473640481,0.23448248751916348,5330.0,3.0,57.0,0.0,6306.0,19873.0,616.0,2778.0,60.0
