clip,MOTA,MOTP,IDF1,IDP,IDR,Frames,MT,PT,ML,FP,FN,IDs,Frag,GT
v_00HRwkvvjtQ_c001,0.09489180560482435,0.20286724454238694,0.21838001732601792,0.18413683954224494,0.2682688896771905,1162,6,4,0,7616,2464,126,195,10
v_00HRwkvvjtQ_c003,0.006974872574443403,0.20095465516997893,0.222803529698999,0.1826395242451967,0.28561208977912905,1161,6,4,0,8637,2332,136,197,10
v_00HRwkvvjtQ_c005,-0.07442116868798232,0.20569407167522938,0.24492990820465382,0.19986064336314016,0.3162440279309078,594,4,6,0,4477,1308,62,90,10
v_00HRwkvvjtQ_c007,-0.3471663053576959,0.23011673621692402,0.17673707124786728,0.14251826549008445,0.2325797460514091,707,0,10,0,6337,2256,107,163,10
v_00HRwkvvjtQ_c008,0.04738938980918428,0.19735725670433496,0.184788071703803,0.1538568838052727,0.23128538477668276,972,4,6,0,6882,2082,122,189,10
v_00HRwkvvjtQ_c011,-0.12734565248531737,0.21878199834328474,0.19747971689970653,0.16503173687247547,0.24581005586592178,734,2,8,0,5594,2177,99,134,10
OVERALL,-0.03805181021266568,0.20664758764564078,0.20770904569474666,0.1717693632554433,0.262667557687016,5330.0,22.0,38.0,0.0,39543.0,12619.0,652.0,968.0,60.0
