clip,MOTA,MOTP,IDF1,IDP,IDR,Frames,MT,PT,ML,FP,FN,IDs,Frag,GT
v_00HRwkvvjtQ_c001,0.30853139411138697,0.2032948739822807,0.24245204336947457,0.22882556675062973,0.25780418588151827,1162,3,7,0,4550,3122,125,212,10
v_00HRwkvvjtQ_c003,0.3044800143074309,0.2009372694045016,0.2457602400100004,0.23010299625468164,0.26370383617991594,1161,3,7,0,4643,3010,125,183,10
v_00HRwkvvjtQ_c005,0.2980521866960676,0.20541607916492707,0.2664603747636239,0.25032299741602065,0.284821756707093,594,4,6,0,2256,1506,58,86,10
v_00HRwkvvjtQ_c007,0.125735521833385,0.22748703699571818,0.22547004643373678,0.22173978140440187,0.2293279653143388,707,0,10,0,2886,2665,95,145,10
v_00HRwkvvjtQ_c008,0.307716502411407,0.19826154343711475,0.19698243878308186,0.18647560176079422,0.20874397148249108,972,2,8,0,3809,2670,124,182,10
v_00HRwkvvjtQ_c011,0.1514109726400229,0.21361765154462964,0.21411881328329674,0.21170540464855783,0.21658788139235066,734,2,8,0,2999,2838,87,132,10
OVERALL,0.26160619521207595,0.20583400162226378,0.2313984760197221,0.22042341220423411,0.24352372341680098,5330.0,14.0,46.0,0.0,21143.0,15811.0,614.0,940.0,60.0
