clip,MOTA,MOTP,IDF1,IDP,IDR,Frames,MT,PT,ML,FP,FN,IDs,Frag,GT
v_00HRwkvvjtQ_c001,0.3628946434905995,0.20213358157277156,0.25367916090739084,0.2341990692088275,0.2766938630720113,1162,5,5,0,4556,2510,118,188,10
v_00HRwkvvjtQ_c003,0.32272198873289815,0.20041456941019378,0.2482538415485931,0.2241926182237601,0.2781006885451131,1161,5,5,0,5067,2378,129,196,10
v_00HRwkvvjtQ_c005,0.27728776185226023,0.20492202791801903,0.2845568783068783,0.2586414186955215,0.3162440279309078,594,4,6,0,2543,1331,59,89,10
v_00HRwkvvjtQ_c007,0.08841746670795914,0.22880753778698912,0.21253714447431724,0.19567483064095884,0.2325797460514091,707,0,10,0,3502,2284,101,154,10
v_00HRwkvvjtQ_c008,0.3252254141329419,0.19678180368345707,0.21704035874439462,0.19738988580750408,0.2410358565737052,972,4,6,0,4215,2106,115,186,10
v_00HRwkvvjtQ_c011,0.20813637014754338,0.21683349461838153,0.22758161225849433,0.21272885789014823,0.24466408823950722,734,2,8,0,3242,2194,92,133,10
OVERALL,0.28177208223593697,0.20576479797586827,0.24018986777065973,0.2199346405228758,0.2645544243091317,5330.0,20.0,40.0,0.0,23125.0,12803.0,614.0,946.0,60.0
