clip,MOTA,MOTP,IDF1,IDP,IDR,Frames,MT,PT,ML,FP,FN,IDs,Frag,GT
v_00HRwkvvjtQ_c001,0.4962752749201844,0.15813350882141794,0.271720527534481,0.3142025611175786,0.23935792834338418,1162,1,9,0,1440,4126,114,614,10
v_00HRwkvvjtQ_c003,0.523741393186086,0.15577326036456365,0.28853341306622815,0.3258667266996848,0.2588750782437629,1161,1,9,0,1463,3762,101,604,10
v_00HRwkvvjtQ_c005,0.5282984196986402,0.16152727733998132,0.3016783070989263,0.34859070103589496,0.2658948915839765,594,2,8,0,609,1900,58,269,10
v_00HRwkvvjtQ_c007,0.41080829978321465,0.17946030357357423,0.2702963606525726,0.3588823378620866,0.21678538247135337,707,0,10,0,581,3138,86,405,10
v_00HRwkvvjtQ_c008,0.4793457747955546,0.15138499755185872,0.25770208739873457,0.29553777295537775,0.22845460264206333,972,0,10,0,1352,3517,97,513,10
v_00HRwkvvjtQ_c011,0.4477868500214869,0.1682435749987319,0.321251629726206,0.40848806366047746,0.2647185217017619,734,1,9,0,662,3119,74,388,10
OVERALL,0.48506230590825106,0.16016833357855056,0.28239770784022833,0.33316409694572857,0.24505680254726994,5330.0,5.0,55.0,0.0,6107.0,19562.0,530.0,2793.0,60.0
