clip,MOTA,MOTP,IDF1,IDP,IDR,Frames,MT,PT,ML,FP,FN,IDs,Frag,GT
v_00HRwkvvjtQ_c001,0.5411493437389145,0.1917176974127205,0.23953169994807158,0.25608155849399417,0.22499113160695283,1162,2,8,0,1825,3194,155,195,10
v_00HRwkvvjtQ_c003,0.5405526245193597,0.19068907929414944,0.2564150589998127,0.2691438120515089,0.24483591165161406,1161,3,7,0,1988,2998,152,187,10
v_00HRwkvvjtQ_c005,0.5385887541345094,0.19660710488705987,0.2986193293885602,0.3222647935291613,0.27820654171260567,594,3,7,0,849,1593,69,82,10
v_00HRwkvvjtQ_c007,0.43186745122328896,0.2186744763145216,0.2049369561356775,0.2402164862614488,0.17869309383710127,707,0,10,0,952,2606,111,143,10
v_00HRwkvvjtQ_c008,0.5181379744181169,0.18636348900857602,0.19514084896784548,0.20665807056617044,0.18483958901237157,972,3,7,0,1723,2730,143,176,10
v_00HRwkvvjtQ_c011,0.4661223320441198,0.2045734629002327,0.23474102293912621,0.2703510082150859,0.20742014038103423,734,2,8,0,997,2622,108,135,10
OVERALL,0.5122646330437517,0.1955265613188715,0.23644630989856594,0.25659665508753365,0.219230315657062,5330.0,13.0,47.0,0.0,8334.0,15743.0,738.0,918.0,60.0
